date,cohort,action,symbol
2026-01-07,sp500,add,ZTS
2026-01-07,sp500,add,VST
2026-01-07,sp500,add,LYV
2026-01-07,sp500,add,HST
2026-01-07,sp500,add,EMR
2026-01-07,sp500,add,MAS
2026-01-07,sp500,add,EXR
2026-01-07,sp500,add,NDSN
2026-01-07,sp500,add,NCLH
2026-01-07,sp500,add,JNJ
2026-01-07,sp500,add,SBUX
2026-01-07,sp500,add,TTWO
2026-01-07,sp500,add,DE
2026-01-07,sp500,add,CMG
2026-01-07,sp500,add,ROP
2026-01-07,sp500,add,GL
2026-01-07,sp500,add,HII
2026-01-07,sp500,add,SPG
2026-01-07,sp500,add,KMB
2026-01-07,sp500,add,EVRG
2026-01-07,sp500,add,INVH
2026-01-07,sp500,add,LLY
2026-01-07,sp500,add,SOLV
2026-01-07,sp500,add,TMUS
2026-01-07,sp500,add,FITB
2026-01-07,sp500,add,AMAT
2026-01-07,sp500,add,ABBV
2026-01-07,sp500,add,LRCX
2026-01-07,sp500,add,DLR
2026-01-07,sp500,add,MPC
2026-01-07,sp500,add,HSIC
2026-01-07,sp500,add,NTRS
2026-01-07,sp500,add,EFX
2026-01-07,sp500,add,CB
2026-01-07,sp500,add,MOH
2026-01-07,sp500,add,NEM
2026-01-07,sp500,add,PM
2026-01-07,sp500,add,L
2026-01-07,sp500,add,CVNA
2026-01-07,sp500,add,NI
2026-01-07,sp500,add,LOW
2026-01-07,sp500,add,NVR
2026-01-07,sp500,add,TECH
2026-01-07,sp500,add,GD
2026-01-07,sp500,add,ITW
2026-01-07,sp500,add,WSM
2026-01-07,sp500,add,STLD
2026-01-07,sp500,add,MCO
2026-01-07,sp500,add,INTC
2026-01-07,sp500,add,LNT
2026-01-07,sp500,add,JCI
2026-01-07,sp500,add,XYZ
2026-01-07,sp500,add,FANG
2026-01-07,sp500,add,EG
2026-01-07,sp500,add,XOM
2026-01-07,sp500,add,WMT
2026-01-07,sp500,add,ORCL
2026-01-07,sp500,add,WBD
2026-01-07,sp500,add,MAA
2026-01-07,sp500,add,CMI
2026-01-07,sp500,add,ETR
2026-01-07,sp500,add,SRE
2026-01-07,sp500,add,LULU
2026-01-07,sp500,add,MCK
2026-01-07,sp500,add,DDOG
2026-01-07,sp500,add,PLD
2026-01-07,sp500,add,BLK
2026-01-07,sp500,add,PNW
2026-01-07,sp500,add,EIX
2026-01-07,sp500,add,HAL
2026-01-07,sp500,add,WYNN
2026-01-07,sp500,add,DXCM
2026-01-07,sp500,add,HBAN
2026-01-07,sp500,add,INTU
2026-01-07,sp500,add,PSA
2026-01-07,sp500,add,JPM
2026-01-07,sp500,add,SJM
2026-01-07,sp500,add,DOW
2026-01-07,sp500,add,HPE
2026-01-07,sp500,add,WAB
2026-01-07,sp500,add,CME
2026-01-07,sp500,add,TSN
2026-01-07,sp500,add,EA
2026-01-07,sp500,add,BAC
2026-01-07,sp500,add,BKR
2026-01-07,sp500,add,MS
2026-01-07,sp500,add,ETN
2026-01-07,sp500,add,IT
2026-01-07,sp500,add,CEG
2026-01-07,sp500,add,GDDY
2026-01-07,sp500,add,SNA
2026-01-07,sp500,add,ISRG
2026-01-07,sp500,add,HSY
2026-01-07,sp500,add,MMM
2026-01-07,sp500,add,SHW
2026-01-07,sp500,add,EQIX
2026-01-07,sp500,add,TXT
2026-01-07,sp500,add,CARR
2026-01-07,sp500,add,APA
2026-01-07,sp500,add,CHD
2026-01-07,sp500,add,IRM
2026-01-07,sp500,add,COIN
2026-01-07,sp500,add,CSX
2026-01-07,sp500,add,BALL
2026-01-07,sp500,add,SYK
2026-01-07,sp500,add,CFG
2026-01-07,sp500,add,WMB
2026-01-07,sp500,add,CPB
2026-01-07,sp500,add,EBAY
2026-01-07,sp500,add,PODD
2026-01-07,sp500,add,ESS
2026-01-07,sp500,add,PNR
2026-01-07,sp500,add,LYB
2026-01-07,sp500,add,HON
2026-01-07,sp500,add,NWS
2026-01-07,sp500,add,TPR
2026-01-07,sp500,add,UDR
2026-01-07,sp500,add,MSI
2026-01-07,sp500,add,KEYS
2026-01-07,sp500,add,VRTX
2026-01-07,sp500,add,BX
2026-01-07,sp500,add,TRMB
2026-01-07,sp500,add,MPWR
2026-01-07,sp500,add,BK
2026-01-07,sp500,add,CTRA
2026-01-07,sp500,add,JBHT
2026-01-07,sp500,add,TSCO
2026-01-07,sp500,add,APD
2026-01-07,sp500,add,PLTR
2026-01-07,sp500,add,EQT
2026-01-07,sp500,add,NUE
2026-01-07,sp500,add,DAL
2026-01-07,sp500,add,GWW
2026-01-07,sp500,add,AES
2026-01-07,sp500,add,EME
2026-01-07,sp500,add,PRU
2026-01-07,sp500,add,ABT
2026-01-07,sp500,add,EW
2026-01-07,sp500,add,AZO
2026-01-07,sp500,add,DVA
2026-01-07,sp500,add,YUM
2026-01-07,sp500,add,ROST
2026-01-07,sp500,add,PPG
2026-01-07,sp500,add,JBL
2026-01-07,sp500,add,ICE
2026-01-07,sp500,add,WRB
2026-01-07,sp500,add,BG
2026-01-07,sp500,add,ADBE
2026-01-07,sp500,add,ECL
2026-01-07,sp500,add,CVS
2026-01-07,sp500,add,ADM
2026-01-07,sp500,add,ALGN
2026-01-07,sp500,add,BEN
2026-01-07,sp500,add,AIZ
2026-01-07,sp500,add,LMT
2026-01-07,sp500,add,MKC
2026-01-07,sp500,add,AMP
2026-01-07,sp500,add,RMD
2026-01-07,sp500,add,EXC
2026-01-07,sp500,add,REG
2026-01-07,sp500,add,DLTR
2026-01-07,sp500,add,ADI
2026-01-07,sp500,add,USB
2026-01-07,sp500,add,FICO
2026-01-07,sp500,add,AEP
2026-01-07,sp500,add,BDX
2026-01-07,sp500,add,IR
2026-01-07,sp500,add,KKR
2026-01-07,sp500,add,ACN
2026-01-07,sp500,add,CCL
2026-01-07,sp500,add,GRMN
2026-01-07,sp500,add,REGN
2026-01-07,sp500,add,VMC
2026-01-07,sp500,add,FE
2026-01-07,sp500,add,COP
2026-01-07,sp500,add,LDOS
2026-01-07,sp500,add,GLW
2026-01-07,sp500,add,BLDR
2026-01-07,sp500,add,EL
2026-01-07,sp500,add,UHS
2026-01-07,sp500,add,STX
2026-01-07,sp500,add,ERIE
2026-01-07,sp500,add,MO
2026-01-07,sp500,add,EXPE
2026-01-07,sp500,add,DPZ
2026-01-07,sp500,add,LHX
2026-01-07,sp500,add,TDY
2026-01-07,sp500,add,RTX
2026-01-07,sp500,add,APP
2026-01-07,sp500,add,Q
2026-01-07,sp500,add,GM
2026-01-07,sp500,add,FTV
2026-01-07,sp500,add,SO
2026-01-07,sp500,add,D
2026-01-07,sp500,add,KDP
2026-01-07,sp500,add,SMCI
2026-01-07,sp500,add,JKHY
2026-01-07,sp500,add,HWM
2026-01-07,sp500,add,CBRE
2026-01-07,sp500,add,HCA
2026-01-07,sp500,add,ADP
2026-01-07,sp500,add,GEN
2026-01-07,sp500,add,AKAM
2026-01-07,sp500,add,PCAR
2026-01-07,sp500,add,ON
2026-01-07,sp500,add,CMCSA
2026-01-07,sp500,add,FRT
2026-01-07,sp500,add,DGX
2026-01-07,sp500,add,PFG
2026-01-07,sp500,add,WM
2026-01-07,sp500,add,VLTO
2026-01-07,sp500,add,WTW
2026-01-07,sp500,add,FFIV
2026-01-07,sp500,add,UPS
2026-01-07,sp500,add,MAR
2026-01-07,sp500,add,HD
2026-01-07,sp500,add,LVS
2026-01-07,sp500,add,MSFT
2026-01-07,sp500,add,MNST
2026-01-07,sp500,add,BF.B
2026-01-07,sp500,add,F
2026-01-07,sp500,add,UBER
2026-01-07,sp500,add,LII
2026-01-07,sp500,add,ROK
2026-01-07,sp500,add,TROW
2026-01-07,sp500,add,AMCR
2026-01-07,sp500,add,SCHW
2026-01-07,sp500,add,ATO
2026-01-07,sp500,add,-
2026-01-07,sp500,add,AAPL
2026-01-07,sp500,add,HLT
2026-01-07,sp500,add,WAT
2026-01-07,sp500,add,LUV
2026-01-07,sp500,add,CTSH
