symbol,name,weight
NVDA,NVIDIA CORP,7.58331
AAPL,APPLE INC,6.663929
GOOGL,Alphabet Inc. (Combined),5.523526
MSFT,MICROSOFT CORP,4.870329
AMZN,AMAZON.COM INC,3.652638
AVGO,BROADCOM INC,2.639353
META,META PLATFORMS INC CLASS A,2.249675
TSLA,TESLA INC,1.90413
BRK.B,BERKSHIRE HATHAWAY INC CL B,1.558185
JPM,JPMORGAN CHASE + CO,1.414297
LLY,ELI LILLY + CO,1.34324
XOM,EXXON MOBIL CORP,1.193215
JNJ,JOHNSON + JOHNSON,1.044795
WMT,WALMART INC,0.971116
V,VISA INC CLASS A SHARES,0.891235
COST,COSTCO WHOLESALE CORP,0.785757
MU,MICRON TECHNOLOGY INC,0.735015
NFLX,NETFLIX INC,0.716524
MA,MASTERCARD INC   A,0.711146
ABBV,ABBVIE INC,0.67484
CVX,CHEVRON CORP,0.657249
AMD,ADVANCED MICRO DEVICES,0.608779
CAT,CATERPILLAR INC,0.603569
PG,PROCTER + GAMBLE CO/THE,0.594298
PLTR,PALANTIR TECHNOLOGIES INC A,0.593893
