symbol,name,weight
P,Everpure Inc. Class A,0.995663
TWLO,Twilio Inc. Class A,0.965424
FTI,TechnipFMC plc,0.836965
ATI,ATI Inc,0.832661
ILMN,Illumina Inc.,0.771265
NVT,nVent Electric plc,0.74017
CRS,Carpenter Technology Corporation,0.722581
CASH_USD,U.S. Dollar,0.696631
CW,Curtiss-Wright Corporation,0.689847
XPO,XPO Inc.,0.661747
OKTA,Okta Inc. Class A,0.660077
ENTG,Entegris Inc.,0.658751
USFD,US Foods Holding Corp.,0.640543
THC,Tenet Healthcare Corporation,0.616229
WWD,Woodward Inc.,0.589599
BURL,Burlington Stores Inc.,0.58334
RS,Reliance Inc.,0.581462
UTHR,United Therapeutics Corporation,0.566461
MKSI,MKS Inc.,0.560469
MTSI,MACOM Technology Solutions Holdings Inc.,0.554462
ROKU,Roku Inc. Class A,0.552418
FN,Fabrinet,0.54561
ITT,ITT Inc.,0.52379
CDE,Coeur Mining Inc.,0.519642
SNX,TD SYNNEX Corporation,0.516575
RGLD,Royal Gold Inc.,0.50188
EWBC,East West Bancorp Inc.,0.499737
MTZ,MasTec Inc.,0.489648
LSCC,Lattice Semiconductor Corporation,0.477317
STRL,Sterling Infrastructure Inc.,0.472383
RBC,RBC Bearings Incorporated,0.472127
NTNX,Nutanix Inc. Class A,0.471715
WCC,WESCO International Inc.,0.470253
JLL,Jones Lang LaSalle Incorporated,0.464601
OVV,Ovintiv Inc,0.463469
NLY,Annaly Capital Management Inc.,0.456527
APG,APi Group Corporation,0.452529
PR,Permian Resources Corporation Class A,0.451879
PFGC,Performance Food Group Co,0.449911
ONTO,Onto Innovation Inc.,0.440645
TLN,Talen Energy Corp,0.439725
ARMK,Aramark,0.438102
RGA,Reinsurance Group of America Incorporated,0.436412
ROIV,Roivant Sciences Ltd.,0.435875
TOST,Toast Inc. Class A,0.435739
PNFP,Pinnacle Financial Partners Inc.,0.433803
CLH,Clean Harbors Inc.,0.427118
WPC,W. P. Carey Inc.,0.426004
BWXT,BWX Technologies Inc.,0.423784
SITM,SiTime Corporation,0.421518
LECO,Lincoln Electric Holdings Inc.,0.419697
RBA,RB Global Inc.,0.419194
TRU,TransUnion,0.414359
JAZZ,Jazz Pharmaceuticals Public Limited Company,0.410431
NBIX,Neurocrine Biosciences Inc.,0.410069
NXT,Nextpower Inc. Class A,0.402322
EQH,Equitable Holdings Inc.,0.399119
CSL,Carlisle Companies Incorporated,0.398948
GWRE,Guidewire Software Inc.,0.396962
CACI,CACI International Inc Class A,0.39558
MLI,Mueller Industries Inc.,0.389169
TTMI,TTM Technologies Inc.,0.388251
RPM,RPM International Inc.,0.387921
DT,Dynatrace Inc.,0.386659
DINO,HF Sinclair Corporation,0.383297
BWA,BorgWarner Inc.,0.376082
TOL,Toll Brothers Inc.,0.374985
DTM,DT Midstream Inc.,0.372944
SGI,Somnigroup International Inc.,0.37106
OHI,Omega Healthcare Investors Inc.,0.370034
RNR,RenaissanceRe Holdings Ltd.,0.368143
UNM,Unum Group,0.366353
TXRH,Texas Roadhouse Inc.,0.363521
GGG,Graco Inc.,0.363161
LAMR,Lamar Advertising Company Class A,0.361427
FIVE,Five Below Inc.,0.361092
AIT,Applied Industrial Technologies Inc.,0.357238
DKS,Dick's Sporting Goods Inc.,0.355311
AA,Alcoa Corporation,0.35221
CCK,Crown Holdings Inc.,0.351189
SF,Stifel Financial Corp,0.350743
SN,SharkNinja Inc.,0.349763
SMTC,Semtech Corporation,0.348991
MEDP,Medpace Holdings Inc.,0.348531
BMRN,BioMarin Pharmaceutical Inc.,0.34768
EXEL,Exelixis Inc.,0.343936
PEN,Penumbra Inc.,0.343477
WBS,Webster Financial Corporation,0.341814
CG,Carlyle Group Inc,0.341078
ELS,Equity LifeStyle Properties Inc.,0.339791
DY,Dycom Industries Inc.,0.335955
AEIS,Advanced Energy Industries Inc.,0.33541
MOG.A,Moog Inc. Class A,0.33507
ALLY,Ally Financial Inc,0.334524
FNF,Fidelity National Financial Inc. - FNF Group,0.33424
OC,Owens Corning,0.332608
FHN,First Horizon Corporation,0.332321
GLPI,Gaming and Leisure Properties Inc.,0.329531
HL,Hecla Mining Company,0.329024
EHC,Encompass Health Corporation,0.327398
ARWR,Arrowhead Pharmaceuticals Inc.,0.325894
KTOS,Kratos Defense & Security Solutions Inc.,0.323389
DOCU,DocuSign Inc.,0.321888
BJ,BJ's Wholesale Club Holdings Inc.,0.31852
EVR,Evercore Inc. Class A,0.317519
ELAN,Elanco Animal Health Inc.,0.315697
KNX,Knight-Swift Transportation Holdings Inc. Class A,0.314251
HALO,Halozyme Therapeutics Inc.,0.312502
RRX,Regal Rexnord Corporation,0.311973
MANH,Manhattan Associates Inc.,0.311865
SCI,Service Corporation International,0.310338
PINS,Pinterest Inc. Class A,0.309527
LFUS,Littelfuse Inc.,0.308999
WTRG,Essential Utilities Inc.,0.305848
SANM,Sanmina Corporation,0.301774
DCI,Donaldson Company Inc.,0.29675
MOH,Molina Healthcare Inc.,0.295549
AR,Antero Resources Corporation,0.293737
WSO,Watsco Inc.,0.292644
WTFC,Wintrust Financial Corporation,0.292629
ARW,Arrow Electronics Inc.,0.292204
CGNX,Cognex Corporation,0.291666
RMBS,Rambus Inc.,0.291225
SSB,SouthState Bank Corporation,0.291044
EGP,EastGroup Properties Inc.,0.291033
SPXC,SPX Technologies Inc.,0.290545
UMBF,UMB Financial Corporation,0.289971
WMS,Advanced Drainage Systems Inc.,0.288801
AMH,American Homes 4 Rent Class A,0.288283
AYI,Acuity Inc.,0.288247
CR,Crane Company,0.286193
COKE,Coca-Cola Consolidated Inc.,0.285413
